[32m[I 2022-10-19 21:24:26,992][0m A new study created in memory with name: no-name-b979582a-6232-42e5-b71b-3a2464e7b091[0m

total_number_of_episodes = 20, number_of_timesteps=20000, per_episode_reward = -569.05, episode_reward_trend_value=0.0
total_number_of_episodes = 30, number_of_timesteps=30000, per_episode_reward = -575.55, episode_reward_trend_value=-0.6502499080054577
total_number_of_episodes = 40, number_of_timesteps=40000, per_episode_reward = -584.45, episode_reward_trend_value=-0.7702843179687193
total_number_of_episodes = 50, number_of_timesteps=50000, per_episode_reward = -589.32, episode_reward_trend_value=-0.6759040391278972
total_number_of_episodes = 60, number_of_timesteps=60000, per_episode_reward = -588.18, episode_reward_trend_value=-0.47835641216004776
total_number_of_episodes = 70, number_of_timesteps=70000, per_episode_reward = -587.04, episode_reward_trend_value=-0.3597700812447715
total_number_of_episodes = 80, number_of_timesteps=80000, per_episode_reward = -588.74, episode_reward_trend_value=-0.328139133398912
total_number_of_episodes = 90, number_of_timesteps=90000, per_episode_reward = -589.14, episode_reward_trend_value=-0.2870826920689069
total_number_of_episodes = 100, number_of_timesteps=100000, per_episode_reward = -590.40, episode_reward_trend_value=-0.26688629903481453
total_number_of_episodes = 110, number_of_timesteps=110000, per_episode_reward = -588.86, episode_reward_trend_value=-0.22018737805889135
total_number_of_episodes = 120, number_of_timesteps=120000, per_episode_reward = -587.18, episode_reward_trend_value=-0.12925580072145268
total_number_of_episodes = 130, number_of_timesteps=130000, per_episode_reward = -587.19, episode_reward_trend_value=-0.0303878667409688
total_number_of_episodes = 140, number_of_timesteps=140000, per_episode_reward = -586.85, episode_reward_trend_value=0.02744119542191912
total_number_of_episodes = 150, number_of_timesteps=150000, per_episode_reward = -518.61, episode_reward_trend_value=0.7730035445643832
total_number_of_episodes = 160, number_of_timesteps=160000, per_episode_reward = -517.53, episode_reward_trend_value=0.7722564139379667
total_number_of_episodes = 170, number_of_timesteps=170000, per_episode_reward = -518.86, episode_reward_trend_value=0.7764232927273762
total_number_of_episodes = 180, number_of_timesteps=180000, per_episode_reward = -517.71, episode_reward_trend_value=0.7936690732963787
total_number_of_episodes = 190, number_of_timesteps=190000, per_episode_reward = -518.08, episode_reward_trend_value=0.8035777673137419
total_number_of_episodes = 200, number_of_timesteps=200000, per_episode_reward = -518.54, episode_reward_trend_value=0.7814093129854781
total_number_of_episodes = 210, number_of_timesteps=210000, per_episode_reward = -517.68, episode_reward_trend_value=0.7722955891354811
total_number_of_episodes = 220, number_of_timesteps=220000, per_episode_reward = -516.99, episode_reward_trend_value=0.779959491502911
total_number_of_episodes = 230, number_of_timesteps=230000, per_episode_reward = -516.43, episode_reward_trend_value=0.782455291843213
total_number_of_episodes = 240, number_of_timesteps=240000, per_episode_reward = -515.05, episode_reward_trend_value=0.039595678794466946
total_number_of_episodes = 250, number_of_timesteps=250000, per_episode_reward = -515.72, episode_reward_trend_value=0.02013292193923538
total_number_of_episodes = 260, number_of_timesteps=260000, per_episode_reward = -516.22, episode_reward_trend_value=0.02928225725018289
total_number_of_episodes = 270, number_of_timesteps=270000, per_episode_reward = -449.95, episode_reward_trend_value=0.7529477913082315
total_number_of_episodes = 280, number_of_timesteps=280000, per_episode_reward = -449.89, episode_reward_trend_value=0.757630447391948
total_number_of_episodes = 290, number_of_timesteps=290000, per_episode_reward = -450.17, episode_reward_trend_value=0.7595847081639723
total_number_of_episodes = 300, number_of_timesteps=300000, per_episode_reward = -448.41, episode_reward_trend_value=0.7695835465038625
total_number_of_episodes = 310, number_of_timesteps=310000, per_episode_reward = -449.11, episode_reward_trend_value=0.7542145703074576
total_number_of_episodes = 320, number_of_timesteps=320000, per_episode_reward = -448.98, episode_reward_trend_value=0.7494275695153785
total_number_of_episodes = 330, number_of_timesteps=330000, per_episode_reward = -449.21, episode_reward_trend_value=0.731474888293701
total_number_of_episodes = 340, number_of_timesteps=340000, per_episode_reward = -449.45, episode_reward_trend_value=0.7363235935328248
total_number_of_episodes = 350, number_of_timesteps=350000, per_episode_reward = -449.75, episode_reward_trend_value=0.7385604008284771
total_number_of_episodes = 360, number_of_timesteps=360000, per_episode_reward = -450.22, episode_reward_trend_value=-0.003004479403001091
