env,         attack,  defense, number_of_steps, reward_mean, reward_median, reward_stdev, hyper_fitness
cartpole    , "act",   "none", 125000, 149.69101796407185 ,  149.0              , 6.559109819508829  ,  18.0                
cartpole    , "act",   "ucb" , 125000, 486.6953125        ,  500.0              , 58.49847440192728  ,  12.625              
cartpole    , "noise", "none", 125000, 500.0              ,  500.0              , 0.0                ,  299.2               
cartpole    , "noise", "ucb" , 125000, 500.0              ,  500.0              , 0.0                ,  83.275              
cartpole    , "sign",  "ucb" , 125000, 498.12             ,  500.0              , 29.725410005582763 ,  24.200000000000003  
cartpole    , "act",   "none", 125000, 500.0              ,  500.0              , 0.0                ,  20.5                
cartpole    , "act",   "ucb" , 125000, 91.32748538011695  ,  92.0               ,  8.054827054663985 ,  13.5                
cartpole    , "noise", "none", 125000, 500.0              ,  500.0              , 0.0                ,  268.4               
cartpole    , "noise", "ucb" , 125000, 24.92382851445663  ,  21.0               ,  13.715329807833244,  10.6                
cartpole    , "none",  "none", 125000, 500.0              ,  500.0              , 0.0                ,  500.0               
cartpole    , "none",  "ucb" , 125000, 500.0              ,  500.0              , 0.0                ,  10.714285714285714  
cartpole    , "sign",  "none", 125000, 9.967942583732057  ,  10.0               ,  1.2769813263366259,  10.0                
cartpole    , "sign",  "ucb" , 125000, 500.0              ,  500.0              , 0.0                ,  350.0               
lunar_lander, "act",   "none", 125000, -92.91023284681799 , -102.4499468748096  , 37.61902961872188  ,  -109.62242360073385 
lunar_lander, "act",   "ucb" , 125000, -152.227274811048  , -148.19837992488863 , 69.02805202487912  ,  -104.75000003067309 
lunar_lander, "noise", "none", 125000, 153.31039011234955 ,  215.9245252425373  , 124.77155365760774 ,   33.11084058199897  
lunar_lander, "noise", "ucb" , 125000, -128.54696366668585, -133.48355411935918 , 60.23609044456613  ,  -115.1501760111473  
lunar_lander, "none",  "none", 125000, 136.88662538805823 ,  217.0283514566355  , 135.82164399953749 ,  -151.77021928325757 
lunar_lander, "none",  "ucb" , 125000, 164.13387975546993 ,  239.47998401895515 , 112.30477862763207 ,   20.277496426129826 
lunar_lander, "sign",  "none", 125000, -567.0824955829917 , -523.6118994050455  , 162.14052430278133 ,  -526.5572661544858  
lunar_lander, "sign",  "ucb" , 125000, -637.58713120075   , -505.2581498547038  , 437.0628151626181  ,  -162.71742064222968 
